C,Mn,Si,Cr,Ni,Mo,Log_Tau_Ferrite,Log_Tau_Pearlite,Log_Tau_Bainite
1.344,0.948,0.191,1.115,0.828,0.797,2.688,1.896,2.23
0.494,0.826,1.149,2.399,4.94,1.525,0.988,1.652,4.798
1.387,0.705,0.814,2.59,0.829,3.005,2.774,1.41,5.18
0.812,0.539,0.394,3.26,1.755,0.986,1.624,1.078,6.52
1.057,1.402,0.843,3.866,0.613,0.19,2.114,2.804,7.732
0.25,0.602,0.921,3.983,1.213,3.469,0.5,1.204,7.966
1.28,0.43,0.787,3.27,4.076,2.593,2.56,0.86,6.54
0.362,1.054,0.612,0.518,2.492,2.615,0.724,2.108,1.036
0.833,1.423,0.848,0.211,3.271,0.351,1.666,2.846,0.422
1.03,1.23,1.032,0.545,0.676,4.346,2.06,2.46,1.09
0.253,0.972,0.966,1.317,0.834,0.204,0.506,1.944,2.634
0.115,0.973,0.873,3.045,1.708,4.221,0.23,1.946,6.09
1.087,0.723,0.555,2.771,2.181,3.273,2.174,1.446,5.542
0.314,1.306,1.231,2.083,4.206,2.913,0.628,2.612,4.166
0.691,0.907,1.018,2.788,3.035,0.537,1.382,1.814,5.576
0.325,0.547,0.979,3.17,2.73,1.336,0.65,1.094,6.34
0.162,0.437,1.097,0.532,1.152,4.015,0.324,0.874,1.064
0.615,0.377,0.289,2.265,2.648,3.679,1.23,0.754,4.53
1.282,0.793,1.413,1.542,3.068,0.266,2.564,1.586,3.084
1.104,1.275,0.288,0.861,3.372,4.625,2.208,2.55,1.722
0.795,1.098,0.22,1.655,4.777,2.96,1.59,2.196,3.31
0.5,1.394,1.41,4.531,2.492,0.694,1.0,2.788,9.062
1.307,0.715,0.492,2.047,4.511,0.099,2.614,1.43,4.094
1.0,1.398,1.154,2.255,4.136,3.505,2.0,2.796,4.51
1.034,0.933,1.202,1.468,3.079,2.507,2.068,1.866,2.936
0.383,0.8,0.852,2.958,0.975,4.721,0.766,1.6,5.916
0.484,0.997,0.449,1.947,2.404,4.951,0.968,1.994,3.894
0.86,0.488,0.866,3.493,3.206,0.017,1.72,0.976,6.986
0.304,0.165,0.927,0.204,0.6,1.411,0.608,0.33,0.408
0.16,0.243,1.138,0.528,1.68,1.095,0.32,0.486,1.056
1.311,0.11,0.995,0.692,2.235,4.202,2.622,0.22,1.384
1.32,0.582,0.588,3.638,4.349,3.616,2.64,1.164,7.276
1.323,0.569,0.897,3.793,3.666,4.25,2.646,1.138,7.586
0.483,0.527,0.776,3.826,0.253,2.683,0.966,1.054,7.652
0.388,0.45,1.31,3.489,3.715,1.43,0.776,0.9,6.978
0.608,0.248,0.544,0.275,2.784,2.927,1.216,0.496,0.55
0.125,1.283,0.582,1.86,3.364,2.458,0.25,2.566,3.72
1.388,1.274,0.806,4.409,1.578,0.789,2.776,2.548,8.818
0.15,0.148,0.37,1.426,2.68,1.108,0.3,0.296,2.852
0.275,0.287,0.546,0.273,3.273,0.759,0.55,0.574,0.546
0.295,0.385,0.435,0.536,0.07,3.034,0.59,0.77,1.072
0.615,0.248,0.231,4.447,3.467,1.661,1.23,0.496,8.894
1.32,0.927,1.245,2.23,2.227,4.368,2.64,1.854,4.46
0.16,0.6,0.837,1.075,2.897,4.637,0.32,1.2,2.15
0.472,0.503,1.191,1.339,1.639,3.673,0.944,1.006,2.678
0.85,1.181,1.133,3.131,3.225,0.309,1.7,2.362,6.262
1.059,1.099,0.681,1.803,2.433,2.527,2.118,2.198,3.606
1.426,0.271,1.371,1.132,0.064,3.156,2.852,0.542,2.264
0.209,0.439,0.675,3.167,4.338,2.663,0.418,0.878,6.334
1.207,0.178,1.357,0.841,1.841,1.618,2.414,0.356,1.682
0.985,0.711,1.318,4.012,1.643,0.818,1.97,1.422,8.024
0.784,1.419,0.541,0.897,4.04,1.771,1.568,2.838,1.794
0.503,0.303,1.434,4.966,4.38,3.677,1.006,0.606,9.932
0.575,1.279,0.536,3.803,0.083,4.827,1.15,2.558,7.606
0.453,1.358,0.242,1.254,0.209,4.062,0.906,2.716,2.508
0.377,0.597,0.218,2.633,0.345,4.023,0.754,1.194,5.266
0.202,0.539,1.019,2.11,2.381,1.218,0.404,1.078,4.22
1.016,0.447,0.285,1.712,1.187,0.76,2.032,0.894,3.424
1.45,0.488,0.612,4.881,4.558,0.76,2.9,0.976,9.762
0.416,1.277,0.775,1.191,1.731,1.32,0.832,2.554,2.382
1.04,1.439,0.941,1.303,0.084,3.727,2.08,2.878,2.606
0.721,1.33,0.16,0.63,2.072,2.18,1.442,2.66,1.26
0.935,1.159,1.23,2.093,2.569,0.719,1.87,2.318,4.186
1.171,0.235,0.826,4.809,4.773,3.806,2.342,0.47,9.618
0.345,1.382,0.339,3.768,1.535,1.786,0.69,2.764,7.536
0.732,1.355,0.861,0.914,0.183,0.98,1.464,2.71,1.828
0.805,0.538,0.582,3.215,4.235,4.892,1.61,1.076,6.43
0.126,1.169,0.793,4.583,0.708,4.448,0.252,2.338,9.166
0.913,0.305,0.188,3.365,2.59,1.856,1.826,0.61,6.73
1.442,1.442,1.088,0.414,4.919,3.663,2.884,2.884,0.828
0.252,0.886,0.858,0.998,2.048,4.703,0.504,1.772,1.996
1.017,0.231,1.289,2.741,3.401,0.632,2.034,0.462,5.482
1.064,0.972,1.038,0.795,0.958,1.647,2.128,1.944,1.59
1.263,0.99,0.439,0.628,1.665,0.529,2.526,1.98,1.256
0.642,0.836,0.193,2.641,2.429,0.815,1.284,1.672,5.282
0.761,0.702,0.718,2.132,0.793,0.568,1.522,1.404,4.264
0.116,0.557,0.856,3.483,2.163,1.115,0.232,1.114,6.966
0.676,0.653,0.375,2.954,0.271,1.379,1.352,1.306,5.908
0.144,0.429,0.611,2.516,3.548,2.859,0.288,0.858,5.032
0.642,1.235,1.111,1.349,1.316,0.883,1.284,2.47,2.698
1.154,0.401,0.531,3.233,3.578,2.052,2.308,0.802,6.466
0.198,0.836,0.794,1.816,1.364,2.61,0.396,1.672,3.632
1.206,1.082,0.837,3.935,3.476,2.563,2.412,2.164,7.87
0.613,1.196,0.802,3.471,2.884,2.374,1.226,2.392,6.942
0.155,0.472,0.64,0.475,0.148,3.288,0.31,0.944,0.95
0.862,1.187,1.342,2.471,4.637,0.264,1.724,2.374,4.942
0.993,1.404,0.905,1.837,1.311,4.394,1.986,2.808,3.674
0.7,0.181,1.056,0.225,3.984,4.32,1.4,0.362,0.45
0.814,0.614,1.24,2.27,4.808,4.812,1.628,1.228,4.54
0.298,0.696,0.98,2.506,0.5,0.77,0.596,1.392,5.012
0.462,0.969,0.829,1.417,3.883,2.866,0.924,1.938,2.834
0.387,1.047,0.13,3.783,2.019,3.747,0.774,2.094,7.566
0.303,0.118,0.185,3.961,1.852,1.751,0.606,0.236,7.922
0.105,1.268,1.107,1.29,4.75,3.946,0.21,2.536,2.58
1.042,1.099,0.118,2.993,0.409,4.731,2.084,2.198,5.986
1.001,0.103,0.928,4.504,2.205,0.537,2.002,0.206,9.008
0.844,1.209,0.261,3.401,2.315,4.035,1.688,2.418,6.802
0.225,0.192,0.355,4.448,0.196,2.474,0.45,0.384,8.896
1.207,1.171,1.435,2.51,4.368,3.792,2.414,2.342,5.02
1.46,1.355,0.679,0.755,2.268,3.332,2.92,2.71,1.51
1.453,1.166,1.312,3.908,1.537,1.266,2.906,2.332,7.816
1.257,0.283,0.798,4.668,2.27,1.298,2.514,0.566,9.336
0.452,1.099,0.499,2.291,0.388,3.222,0.904,2.198,4.582
0.546,0.536,0.955,0.027,1.098,1.409,1.092,1.072,0.054
1.043,1.159,1.407,0.63,2.372,3.525,2.086,2.318,1.26
1.117,1.029,0.79,2.727,3.515,4.51,2.234,2.058,5.454
1.193,0.508,1.442,0.268,2.478,0.717,2.386,1.016,0.536
1.362,0.819,0.883,0.889,0.05,0.055,2.724,1.638,1.778
0.406,1.181,1.091,2.497,1.149,4.633,0.812,2.362,4.994
0.158,1.174,0.901,3.958,2.877,2.169,0.316,2.348,7.916
1.073,1.307,1.442,3.01,0.129,4.895,2.146,2.614,6.02
1.022,0.154,0.561,1.476,3.809,1.291,2.044,0.308,2.952
0.307,0.368,0.249,1.17,2.365,2.096,0.614,0.736,2.34
0.295,0.572,0.638,4.185,4.102,1.593,0.59,1.144,8.37
0.295,0.103,1.029,2.998,4.52,1.752,0.59,0.206,5.996
1.219,1.326,0.38,0.108,0.957,1.082,2.438,2.652,0.216
1.495,1.362,0.501,1.948,2.537,0.98,2.99,2.724,3.896
0.665,0.963,0.698,1.928,4.701,0.183,1.33,1.926,3.856
0.349,1.147,1.395,2.231,2.665,1.165,0.698,2.294,4.462
0.555,0.953,0.913,4.131,3.061,3.14,1.11,1.906,8.262
0.928,1.443,0.133,3.29,4.952,0.194,1.856,2.886,6.58
0.892,1.042,1.036,4.972,0.738,4.517,1.784,2.084,9.944
1.398,1.459,0.524,4.426,1.129,1.154,2.796,2.918,8.852
1.151,0.912,1.403,3.678,2.68,1.084,2.302,1.824,7.356
0.509,0.848,0.449,0.397,3.665,2.185,1.018,1.696,0.794
1.026,1.227,1.218,3.743,1.579,4.397,2.052,2.454,7.486
1.336,0.626,0.688,4.368,1.063,1.724,2.672,1.252,8.736
1.006,1.469,0.337,2.658,3.09,4.565,2.012,2.938,5.316
0.101,0.747,0.672,2.585,3.953,0.325,0.202,1.494,5.17
0.103,0.188,0.512,3.96,1.424,0.201,0.206,0.376,7.92
1.051,0.819,0.844,4.13,3.068,1.176,2.102,1.638,8.26
0.536,0.386,0.936,1.207,3.198,3.241,1.072,0.772,2.414
0.257,0.721,1.039,1.34,2.219,4.744,0.514,1.442,2.68
1.477,0.429,1.393,4.994,4.335,2.792,2.954,0.858,9.988
0.133,0.802,0.49,2.014,4.899,1.501,0.266,1.604,4.028
0.339,1.421,0.313,0.249,1.324,4.407,0.678,2.842,0.498
0.326,0.108,0.665,1.466,2.709,4.639,0.652,0.216,2.932
0.572,0.221,1.096,2.931,2.12,4.987,1.144,0.442,5.862
0.693,1.489,1.393,0.557,0.26,2.42,1.386,2.978,1.114
0.669,1.252,0.505,4.53,1.941,3.0,1.338,2.504,9.06
1.459,0.148,0.135,2.711,1.067,0.25,2.918,0.296,5.422
0.197,0.595,0.867,1.639,1.935,3.026,0.394,1.19,3.278
0.128,0.326,0.735,1.205,4.707,1.848,0.256,0.652,2.41
1.329,0.532,0.629,3.036,2.519,3.468,2.658,1.064,6.072
0.709,0.669,0.9,4.12,4.649,0.853,1.418,1.338,8.24
0.316,0.493,1.024,3.373,1.843,4.115,0.632,0.986,6.746
0.996,1.29,0.882,4.811,0.2,1.914,1.992,2.58,9.622
1.207,0.908,0.813,0.851,2.781,2.855,2.414,1.816,1.702
0.643,0.376,1.238,2.531,1.88,1.737,1.286,0.752,5.062
0.329,0.293,0.956,2.863,1.606,3.145,0.658,0.586,5.726
0.988,0.39,0.167,2.034,0.425,3.095,1.976,0.78,4.068
0.134,0.439,0.818,4.931,2.526,2.71,0.268,0.878,9.862
0.562,1.415,0.346,1.735,4.075,1.532,1.124,2.83,3.47
0.893,0.271,0.636,0.802,3.293,1.191,1.786,0.542,1.604
0.277,0.785,0.726,2.266,2.382,3.932,0.554,1.57,4.532
0.471,0.455,1.189,1.833,4.786,2.781,0.942,0.91,3.666
0.843,0.254,0.999,2.947,3.065,1.999,1.686,0.508,5.894
0.46,0.336,0.836,3.837,0.146,0.655,0.92,0.672,7.674
0.719,0.814,0.414,4.511,2.414,4.631,1.438,1.628,9.022
0.666,0.721,0.75,0.002,0.494,3.995,1.332,1.442,0.004
0.916,0.421,0.625,1.044,4.177,4.132,1.832,0.842,2.088
1.213,0.859,0.906,1.08,2.977,2.855,2.426,1.718,2.16
0.296,1.135,0.255,3.262,4.468,2.759,0.592,2.27,6.524
0.373,0.493,0.315,4.785,4.482,1.458,0.746,0.986,9.57
1.002,0.62,0.909,3.313,4.65,2.776,2.004,1.24,6.626
0.986,0.859,1.374,4.569,3.033,2.823,1.972,1.718,9.138
0.497,0.693,0.644,1.541,3.209,4.724,0.994,1.386,3.082
1.167,0.181,1.213,2.749,4.406,0.995,2.334,0.362,5.498
0.491,0.742,0.781,3.893,1.858,4.742,0.982,1.484,7.786
1.384,0.502,1.341,4.489,4.813,2.782,2.768,1.004,8.978
0.653,0.909,0.297,0.823,2.182,0.846,1.306,1.818,1.646
0.569,1.062,1.329,1.059,4.811,1.733,1.138,2.124,2.118
0.222,0.728,0.665,2.503,3.521,0.693,0.444,1.456,5.006
0.561,0.102,1.421,2.737,3.506,1.199,1.122,0.204,5.474
1.315,0.46,0.187,4.795,4.555,2.402,2.63,0.92,9.59
1.194,0.593,0.14,0.606,3.535,0.226,2.388,1.186,1.212
1.363,1.39,1.075,4.179,4.462,1.637,2.726,2.78,8.358
0.741,0.751,1.379,0.311,4.734,0.528,1.482,1.502,0.622
1.429,0.89,0.613,2.149,2.566,2.945,2.858,1.78,4.298
1.209,0.581,1.397,3.623,1.178,1.596,2.418,1.162,7.246
1.305,1.047,0.251,0.549,0.143,3.461,2.61,2.094,1.098
0.919,0.983,1.164,2.752,2.528,4.678,1.838,1.966,5.504
1.112,0.884,1.487,3.463,1.234,4.615,2.224,1.768,6.926
0.361,0.922,0.95,0.811,4.974,4.377,0.722,1.844,1.622
0.443,0.464,0.91,1.928,0.903,0.206,0.886,0.928,3.856
0.446,1.147,1.242,4.881,1.322,1.533,0.892,2.294,9.762
1.365,0.656,0.224,1.162,3.282,4.599,2.73,1.312,2.324
0.841,0.915,0.477,3.308,1.209,3.171,1.682,1.83,6.616
1.259,0.543,0.304,3.892,1.243,2.144,2.518,1.086,7.784
1.018,1.243,0.15,1.717,0.564,1.226,2.036,2.486,3.434
1.13,1.168,0.53,2.325,3.497,1.42,2.26,2.336,4.65
0.357,1.216,0.745,0.805,2.966,2.332,0.714,2.432,1.61
0.924,0.841,1.467,3.414,3.651,2.284,1.848,1.682,6.828
0.463,0.544,0.928,4.814,0.29,4.181,0.926,1.088,9.628
1.0,1.332,1.003,4.38,0.998,2.367,2.0,2.664,8.76
1.033,1.261,1.439,4.478,1.832,4.915,2.066,2.522,8.956
0.99,0.809,0.904,3.388,1.456,0.082,1.98,1.618,6.776
0.338,1.075,0.699,2.608,0.439,3.135,0.676,2.15,5.216
1.059,1.267,0.672,4.829,0.744,2.267,2.118,2.534,9.658
0.873,0.918,1.332,4.953,1.649,0.842,1.746,1.836,9.906
1.358,1.053,0.249,0.235,0.739,1.564,2.716,2.106,0.47
0.312,1.379,1.342,3.157,1.658,4.694,0.624,2.758,6.314
0.267,0.356,0.64,1.129,2.059,4.373,0.534,0.712,2.258
0.491,1.053,0.34,2.508,2.633,1.388,0.982,2.106,5.016
0.394,1.312,1.182,0.74,4.467,0.315,0.788,2.624,1.48
1.255,1.034,1.073,3.589,4.285,1.835,2.51,2.068,7.178
0.166,0.997,1.36,3.415,4.135,0.548,0.332,1.994,6.83
1.474,0.464,0.835,4.986,3.247,1.587,2.948,0.928,9.972
1.239,0.312,0.874,3.19,3.025,0.361,2.478,0.624,6.38
0.516,0.285,1.189,3.057,4.198,0.179,1.032,0.57,6.114
1.317,0.956,0.261,1.192,3.978,3.648,2.634,1.912,2.384
0.63,1.376,0.591,3.818,1.665,2.397,1.26,2.752,7.636
0.81,0.422,0.33,4.676,4.52,4.91,1.62,0.844,9.352
0.43,1.068,0.533,1.018,2.016,0.471,0.86,2.136,2.036
1.301,1.253,0.378,3.13,3.224,2.27,2.602,2.506,6.26
0.305,0.363,0.749,3.723,0.019,2.493,0.61,0.726,7.446
0.594,0.497,0.931,2.298,1.601,3.755,1.188,0.994,4.596
0.973,0.269,0.853,4.465,0.616,0.197,1.946,0.538,8.93
1.364,0.661,0.146,4.229,2.154,3.9,2.728,1.322,8.458
0.319,0.561,0.345,4.757,4.415,3.615,0.638,1.122,9.514
1.01,1.149,0.398,4.116,0.672,2.794,2.02,2.298,8.232
1.19,0.71,0.261,4.064,0.087,4.08,2.38,1.42,8.128
1.482,0.815,0.211,4.552,2.106,4.166,2.964,1.63,9.104
0.754,1.411,0.16,0.35,2.101,2.588,1.508,2.822,0.7
1.233,1.103,0.555,2.554,2.06,0.368,2.466,2.206,5.108
1.46,0.885,1.014,0.864,0.242,3.502,2.92,1.77,1.728
0.497,0.122,0.326,1.212,2.228,2.532,0.994,0.244,2.424
0.681,1.049,1.121,2.842,3.383,2.718,1.362,2.098,5.684
0.259,0.836,1.138,2.714,3.927,1.114,0.518,1.672,5.428
0.621,0.443,1.305,3.107,1.507,3.305,1.242,0.886,6.214
1.306,0.774,0.876,2.95,1.145,3.333,2.612,1.548,5.9
0.624,1.268,0.219,2.965,0.867,0.208,1.248,2.536,5.93
1.162,0.467,0.606,2.329,3.751,4.873,2.324,0.934,4.658
0.149,0.103,0.802,0.068,1.044,2.614,0.298,0.206,0.136
1.11,0.559,1.045,0.497,2.402,0.111,2.22,1.118,0.994
1.307,1.357,0.916,0.81,0.697,2.337,2.614,2.714,1.62
1.321,0.786,1.166,1.488,2.744,3.446,2.642,1.572,2.976
0.787,0.481,0.556,4.29,2.409,1.884,1.574,0.962,8.58
1.186,1.354,1.353,2.062,3.239,1.494,2.372,2.708,4.124
1.169,0.228,0.979,2.583,1.457,2.822,2.338,0.456,5.166
1.431,0.152,1.231,0.732,4.619,0.552,2.862,0.304,1.464
0.579,0.662,0.677,4.237,1.298,2.645,1.158,1.324,8.474
0.246,1.202,0.677,0.853,2.735,0.405,0.492,2.404,1.706
1.02,0.556,0.695,0.709,2.312,0.053,2.04,1.112,1.418
0.944,0.891,0.317,0.234,1.295,1.894,1.888,1.782,0.468
0.903,1.246,1.373,2.166,3.524,0.919,1.806,2.492,4.332
1.083,0.567,1.108,2.167,1.111,2.108,2.166,1.134,4.334
0.932,0.8,0.779,1.938,2.49,4.291,1.864,1.6,3.876
0.877,0.857,0.239,3.407,1.54,4.66,1.754,1.714,6.814
1.37,0.835,0.957,3.834,3.482,3.979,2.74,1.67,7.668
0.1,0.405,0.983,1.3,3.353,2.906,0.2,0.81,2.6
1.299,0.544,1.263,0.029,1.853,3.891,2.598,1.088,0.058
0.764,0.191,0.392,4.456,1.299,0.835,1.528,0.382,8.912
0.226,0.129,1.371,3.478,1.739,4.946,0.452,0.258,6.956
0.497,0.896,1.424,1.544,2.542,4.895,0.994,1.792,3.088
0.41,1.363,0.296,0.054,0.997,1.651,0.82,2.726,0.108
1.004,0.89,1.307,2.095,0.794,0.983,2.008,1.78,4.19
0.344,0.885,1.312,0.729,4.118,1.707,0.688,1.77,1.458
0.855,1.471,0.332,0.911,1.453,1.627,1.71,2.942,1.822
0.79,0.256,0.11,2.663,3.367,1.277,1.58,0.512,5.326
0.316,1.033,0.683,2.003,0.403,1.327,0.632,2.066,4.006
0.391,0.106,0.593,2.417,1.389,1.328,0.782,0.212,4.834
0.867,1.454,0.763,4.534,2.568,0.662,1.734,2.908,9.068
0.974,0.626,0.359,0.98,3.997,4.105,1.948,1.252,1.96
0.836,0.579,0.426,2.633,2.513,1.204,1.672,1.158,5.266
0.263,0.277,1.046,1.327,2.115,4.594,0.526,0.554,2.654
0.894,0.804,0.32,2.03,1.633,1.897,1.788,1.608,4.06
0.504,1.204,1.106,0.049,1.078,1.569,1.008,2.408,0.098
1.286,0.145,0.831,1.838,0.337,3.12,2.572,0.29,3.676
1.289,1.03,1.113,0.375,0.378,0.508,2.578,2.06,0.75
0.608,1.352,1.385,3.724,1.109,4.249,1.216,2.704,7.448
1.375,0.343,0.202,3.472,0.955,1.85,2.75,0.686,6.944
0.694,1.246,1.189,1.4,0.846,4.453,1.388,2.492,2.8
0.975,0.716,0.438,1.201,3.73,3.1,1.95,1.432,2.402
1.271,0.95,1.083,4.283,3.057,0.24,2.542,1.9,8.566
0.142,0.18,0.615,3.85,4.893,2.206,0.284,0.36,7.7
1.102,1.267,1.387,4.248,1.427,4.376,2.204,2.534,8.496
0.377,0.95,0.63,3.107,4.57,2.936,0.754,1.9,6.214
0.284,0.361,0.566,1.567,4.642,4.284,0.568,0.722,3.134
1.094,0.429,0.374,4.724,2.005,0.517,2.188,0.858,9.448
0.651,1.205,0.659,2.852,2.393,3.58,1.302,2.41,5.704
0.571,0.854,1.435,3.242,4.072,3.887,1.142,1.708,6.484
0.693,0.583,0.473,3.043,4.778,0.831,1.386,1.166,6.086
0.897,1.07,0.457,4.288,2.584,0.708,1.794,2.14,8.576
1.293,0.788,0.908,2.914,2.73,4.69,2.586,1.576,5.828
0.63,0.625,0.924,1.268,1.498,2.309,1.26,1.25,2.536
0.798,0.89,0.602,1.158,4.775,2.434,1.596,1.78,2.316
0.443,0.622,0.414,3.495,2.607,4.359,0.886,1.244,6.99
0.264,1.355,0.649,0.417,0.665,0.316,0.528,2.71,0.834
0.178,0.549,0.188,1.299,0.906,2.997,0.356,1.098,2.598
0.231,1.375,0.379,2.029,1.233,2.774,0.462,2.75,4.058
0.48,0.865,0.801,3.785,2.657,1.597,0.96,1.73,7.57
0.497,0.671,1.048,4.502,4.785,0.832,0.994,1.342,9.004
0.769,1.109,0.567,1.464,1.158,1.863,1.538,2.218,2.928
0.38,1.192,1.439,0.293,1.837,1.469,0.76,2.384,0.586
0.72,1.487,1.123,2.512,2.041,1.97,1.44,2.974,5.024
0.981,0.234,0.646,1.581,4.049,4.366,1.962,0.468,3.162
0.702,0.853,1.006,4.78,2.439,1.036,1.404,1.706,9.56
0.27,0.695,1.194,2.593,3.573,3.15,0.54,1.39,5.186
0.944,0.238,0.639,1.727,0.339,2.843,1.888,0.476,3.454
0.717,0.279,0.69,3.91,2.395,0.51,1.434,0.558,7.82
0.365,1.139,0.363,0.255,3.617,4.969,0.73,2.278,0.51
1.175,0.601,0.704,1.235,1.604,3.487,2.35,1.202,2.47
0.723,0.756,1.389,2.418,1.753,1.97,1.446,1.512,4.836
0.667,0.264,0.998,1.676,1.576,2.339,1.334,0.528,3.352
0.518,1.497,1.07,0.44,0.92,4.87,1.036,2.994,0.88
0.657,1.182,0.91,0.765,1.078,0.303,1.314,2.364,1.53
1.001,0.282,0.518,4.469,3.028,4.774,2.002,0.564,8.938
0.533,0.27,0.38,0.205,0.034,1.096,1.066,0.54,0.41
1.072,1.344,0.517,4.868,4.728,0.302,2.144,2.688,9.736
0.191,0.887,0.596,1.322,2.897,2.272,0.382,1.774,2.644
1.238,0.803,0.375,4.087,1.08,4.134,2.476,1.606,8.174
0.949,1.223,1.016,0.051,1.574,2.465,1.898,2.446,0.102
1.098,0.223,0.392,2.795,3.066,1.002,2.196,0.446,5.59
1.427,0.36,0.666,1.605,0.066,1.285,2.854,0.72,3.21
1.029,0.376,1.078,4.665,0.754,4.359,2.058,0.752,9.33
1.175,0.529,0.485,2.477,2.407,1.201,2.35,1.058,4.954
0.358,1.287,0.321,4.866,1.698,2.467,0.716,2.574,9.732
0.83,1.494,0.796,3.507,4.761,1.925,1.66,2.988,7.014
0.576,0.213,0.943,3.111,0.466,2.061,1.152,0.426,6.222
0.537,0.471,0.976,4.224,3.636,0.775,1.074,0.942,8.448
0.203,1.153,1.367,0.452,2.375,3.955,0.406,2.306,0.904
0.373,0.115,0.653,2.188,1.387,1.026,0.746,0.23,4.376
0.403,0.249,1.026,4.998,2.335,4.942,0.806,0.498,9.996
1.317,0.149,1.319,2.446,3.826,3.158,2.634,0.298,4.892
1.287,0.14,0.999,0.414,3.732,0.883,2.574,0.28,0.828
1.19,0.284,0.324,3.628,2.513,3.748,2.38,0.568,7.256
0.308,0.806,1.07,3.022,3.623,2.227,0.616,1.612,6.044
0.157,0.73,0.459,1.79,2.073,0.825,0.314,1.46,3.58
0.797,0.229,0.698,4.639,1.385,2.234,1.594,0.458,9.278
0.182,1.167,0.846,3.927,4.957,4.484,0.364,2.334,7.854
0.871,0.599,0.479,1.472,4.373,0.081,1.742,1.198,2.944
0.159,0.563,1.076,4.544,3.183,4.625,0.318,1.126,9.088
0.807,0.724,1.284,2.784,0.658,2.645,1.614,1.448,5.568
1.101,0.407,0.968,4.323,4.938,1.612,2.202,0.814,8.646
0.504,0.485,0.391,1.884,2.64,0.578,1.008,0.97,3.768
1.179,1.286,0.82,3.224,1.603,3.718,2.358,2.572,6.448
1.001,0.432,0.369,3.052,3.986,1.94,2.002,0.864,6.104
1.341,0.535,0.682,0.865,4.802,4.677,2.682,1.07,1.73
1.302,1.196,1.016,4.172,0.504,4.436,2.604,2.392,8.344
1.139,0.473,0.35,2.959,0.199,0.094,2.278,0.946,5.918
1.327,1.045,0.128,0.571,0.625,3.906,2.654,2.09,1.142
0.706,0.775,1.269,3.727,4.656,4.755,1.412,1.55,7.454
0.992,1.384,1.248,2.185,0.478,4.256,1.984,2.768,4.37
0.419,1.113,0.794,1.038,2.759,2.494,0.838,2.226,2.076
0.406,0.528,1.026,1.381,0.767,2.789,0.812,1.056,2.762
1.205,0.8,0.62,4.516,4.34,1.36,2.41,1.6,9.032
0.888,0.189,0.13,2.504,2.503,4.662,1.776,0.378,5.008
1.27,0.264,0.928,0.585,3.148,4.53,2.54,0.528,1.17
1.209,0.207,0.601,4.518,1.001,2.777,2.418,0.414,9.036
1.123,1.113,0.471,4.87,0.983,0.329,2.246,2.226,9.74
0.542,0.249,1.454,4.734,4.943,3.988,1.084,0.498,9.468
1.186,0.864,0.699,2.648,0.863,1.64,2.372,1.728,5.296
1.072,1.259,0.431,4.587,3.424,1.45,2.144,2.518,9.174
0.938,1.311,0.549,0.537,4.698,2.558,1.876,2.622,1.074
0.213,0.959,0.643,3.902,2.464,0.629,0.426,1.918,7.804
0.94,0.415,1.121,4.86,2.155,3.273,1.88,0.83,9.72
1.257,0.778,0.351,3.803,4.668,0.205,2.514,1.556,7.606
1.242,1.301,0.554,3.461,4.066,3.96,2.484,2.602,6.922
1.271,0.23,0.598,0.576,1.012,2.889,2.542,0.46,1.152
0.186,0.618,1.476,3.399,4.942,3.229,0.372,1.236,6.798
0.338,0.528,1.156,2.191,3.854,0.756,0.676,1.056,4.382
0.918,1.08,0.654,3.297,4.52,3.153,1.836,2.16,6.594
0.455,0.525,1.118,0.825,2.085,2.614,0.91,1.05,1.65
0.638,0.272,1.362,4.832,1.876,2.32,1.276,0.544,9.664
0.191,0.971,0.214,1.652,2.012,0.824,0.382,1.942,3.304
0.407,0.767,0.555,1.189,4.401,2.787,0.814,1.534,2.378
0.157,1.281,1.083,4.083,3.395,4.042,0.314,2.562,8.166
0.313,0.478,0.323,3.88,4.735,0.156,0.626,0.956,7.76
1.484,0.303,0.867,2.889,0.855,4.869,2.968,0.606,5.778
0.874,0.374,0.132,0.489,0.124,4.88,1.748,0.748,0.978
0.756,0.161,0.954,0.612,4.855,4.156,1.512,0.322,1.224
0.808,0.417,0.252,2.041,0.476,2.622,1.616,0.834,4.082
0.209,0.755,0.769,4.735,4.141,1.322,0.418,1.51,9.47
0.514,0.663,0.312,1.012,4.911,1.592,1.028,1.326,2.024
1.445,1.322,1.132,4.75,4.996,2.569,2.89,2.644,9.5
0.781,1.276,0.713,4.965,2.798,2.189,1.562,2.552,9.93
0.187,1.391,0.161,4.763,1.528,4.104,0.374,2.782,9.526
0.79,0.817,1.087,0.776,0.323,3.24,1.58,1.634,1.552
0.446,1.414,0.847,2.272,0.665,4.961,0.892,2.828,4.544
0.236,0.564,0.789,3.438,4.122,4.651,0.472,1.128,6.876
1.15,0.38,0.896,0.926,4.968,0.934,2.3,0.76,1.852
0.265,0.171,0.822,4.186,3.85,3.098,0.53,0.342,8.372
0.969,0.365,0.654,0.174,3.273,3.4,1.938,0.73,0.348
0.618,1.111,0.388,0.86,0.875,2.564,1.236,2.222,1.72
0.258,0.5,0.699,3.201,4.403,4.248,0.516,1.0,6.402
0.325,1.178,0.654,2.498,3.583,0.419,0.65,2.356,4.996
